Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.10     0.00   105117     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&) const
  0.00      1.10     0.00   105117     0.00     0.00  std::pair<bool, std::string>::pair(bool const&, std::string const&)
  0.00      1.10     0.00   105116     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::operator==(std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      1.10     0.00   105116     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*, std::_Rb_tree_node<std::pair<std::string const, std::string> > const*, std::string const&) const
  0.00      1.10     0.00   105116     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_end() const
  0.00      1.10     0.00   105114     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end() const
  0.00      1.10     0.00   105112     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_begin() const
  0.00      1.10     0.00   105101     0.00     0.00  std::pair<bool, std::string>::~pair()
  0.00      1.10     0.00   105086     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      1.10     0.00   105085     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      1.10     0.00   105045     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      1.10     0.00   104999     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::operator->() const
  0.00      1.10     0.00   104994     0.00     0.00  std::pair<std::string const, std::string> const* std::__addressof<std::pair<std::string const, std::string> const>(std::pair<std::string const, std::string> const&)
  0.00      1.10     0.00   104308     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::_M_end()
  0.00      1.10     0.00   104305     0.00     0.00  MessageBus::getInstance()
  0.00      1.10     0.00   104303     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      1.10     0.00   104301     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, MessageComponent*> >::operator==(std::_Rb_tree_iterator<std::pair<int const, MessageComponent*> > const&) const
  0.00      1.10     0.00   104300     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      1.10     0.00   104296     0.00     0.00  MessageBus::call(int, std::string, void*, void*, void*, void*, void*, void*, void**)
  0.00      1.10     0.00   104293     0.00     0.00  std::pair<int const, MessageComponent*>* std::__addressof<std::pair<int const, MessageComponent*> >(std::pair<int const, MessageComponent*>&)
  0.00      1.10     0.00   104291     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, MessageComponent*> >*, std::_Rb_tree_node<std::pair<int const, MessageComponent*> >*, int const&)
  0.00      1.10     0.00   104290     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, MessageComponent*> >::operator->() const
  0.00      1.10     0.00   104290     0.00     0.00  std::map<int, MessageComponent*, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::end()
  0.00      1.10     0.00   104290     0.00     0.00  std::map<int, MessageComponent*, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::find(int const&)
  0.00      1.10     0.00   104288     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, MessageComponent*> >::operator!=(std::_Rb_tree_iterator<std::pair<int const, MessageComponent*> > const&) const
  0.00      1.10     0.00   104284     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::find(int const&)
  0.00      1.10     0.00   103369     0.00     0.00  URLTest::call(std::string, void*, void*, void*, void*, void*, void*, void**)
  0.00      1.10     0.00   103280     0.00     0.00  std::list<std::string, std::allocator<std::string> >::begin()
  0.00      1.10     0.00   103242     0.00     0.00  HtmlParser::modifyurl(std::string&)
  0.00      1.10     0.00   103241     0.00     0.00  URLTest::isInBloomSet(std::string, int)
  0.00      1.10     0.00   102123     0.00     0.00  URL_Queue::isExist(std::string)
  0.00      1.10     0.00    92206     0.00     0.00  urlstring::~urlstring()
  0.00      1.10     0.00    91879     0.00     0.00  urlstring::urlstring(urlstring const&)
  0.00      1.10     0.00    90479     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      1.10     0.00    79017     0.00     0.00  __gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > >::__normal_iterator(urlstring* const&)
  0.00      1.10     0.00    50802     0.00     0.00  __gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > >::operator*() const
  0.00      1.10     0.00    36092     0.00     0.00  __gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > >::operator+(long const&) const
  0.00      1.10     0.00    34693     0.00     0.00  ACE_Svc_Handler<ACE_SOCK_Stream, ACE_NULL_SYNCH>::peer() const
  0.00      1.10     0.00    33411     0.00     0.00  ACE_IPC_SAP::get_handle() const
  0.00      1.10     0.00    32828     0.00     0.00  ACE_Time_Value::set(long, long)
  0.00      1.10     0.00    32766     0.00     0.00  urlstring* std::__addressof<urlstring>(urlstring&)
  0.00      1.10     0.00    32751     0.00     0.00  ACE_SOCK_IO::recv(void*, unsigned long, ACE_Time_Value const*) const
  0.00      1.10     0.00    29117     0.00     0.00  __gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > >::base() const
  0.00      1.10     0.00    16552     0.00     0.00  urlstring::operator=(urlstring const&)
  0.00      1.10     0.00    16383     0.00     0.00  void std::_Construct<urlstring, urlstring>(urlstring*, urlstring const&)
  0.00      1.10     0.00    16383     0.00     0.00  void std::_Destroy<urlstring>(urlstring*)
  0.00      1.10     0.00    16189     0.00     0.00  cmp::operator()(urlstring, urlstring) const
  0.00      1.10     0.00    14548     0.00     0.00  __gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > >::difference_type __gnu_cxx::operator-<urlstring*, std::vector<urlstring, std::allocator<urlstring> > >(__gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > > const&, __gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > > const&)
  0.00      1.10     0.00    14373     0.00     0.00  std::vector<urlstring, std::allocator<urlstring> >::end()
  0.00      1.10     0.00    14370     0.00     0.00  std::vector<urlstring, std::allocator<urlstring> >::begin()
  0.00      1.10     0.00    14364     0.00     0.00  urlstring::urlstring(std::string, int)
  0.00      1.10     0.00    14362     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > >, long, urlstring, cmp>(__gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > >, long, long, urlstring, cmp)
  0.00      1.10     0.00    14305     0.00     0.00  DBManager::writeDB(int, std::string, timeval*)
  0.00      1.10     0.00    14189     0.00     0.00  __gnu_cxx::__normal_iterator<urlstring*, std::vector<urlstring, std::allocator<urlstring> > >::operator-(long const&) const
